"LOINC","PROC_DESCRIPTION","COMPONENT_NAME","STEP"
"14092-1","HIV-1 AB IFA","HIV-1 AB IFA","2"
"20447-9","HIV QUANTITATION PCR","HIV RNA QUANTITATIVE PCR","1A"
"20447-9","HIV-1 QUANTITATION PCR","HIV RNA PCR","1A"
"20447-9","HIV-1 QUANTITATION PCR","HIV RNA QUANTITATIVE PCR","1A"
"20447-9","TXP KIDNEY PRE OUTSIDE LABS","HIV RNA QUANTITATIVE PCR","1A"
"29893-5","HIV-1/HIV-2 CONFIRM","HIV-1 AB CONFIRM","2"
"30361-0","HIV-1/HIV-2 CONFIRM","HIV-2 AB CONFIRM","2"
"44871-2","HIV-1 DNA,QUALITATIVE PCR","HIV-1 DNA,QUALITATIVE PCR","1C"
"44871-2","HIV-1 DNA,QUALITATIVE PCR - INFANTS ONLY","HIV-1 DNA,QUALITATIVE PCR","1C"
"5221-7","HIV-1 AB WESTERN BLOT","HIV-1 AB WESTERN BLOT","1"
"5221-7","HIV-1 WESTERN BLOT","HIV-1 AB WESTERN BLOT","1"
"7918-6","EMPLOYEE HEALTH EXPOSURE","HIV1/HIV2 ANTIBODY SCREEN","2"
"7918-6","HIV-1/2 AG/AB 4TH GENERATION WITH REFLEX CONFIRMATION","HIV-1/2 AG/AB 4TH GENERATION WITH REFLEX CONFIRMATION","2"
"7918-6","HIV-1/HIV-2 ANTIBODY SCREEN","HIV1/HIV2 ANTIBODY SCREEN","2"
"7918-6","HIV-2 ANTIBODIES","HIV1/HIV2 ANTIBODY SCREEN","2"
"7918-6","HIV1/HIV2 ANTIBODY SCREEN","HIV-1/2 AG/AB 4TH GENERATION WITH REFLEX CONFIRMATION","2"
"7918-6","HIV1/HIV2 ANTIBODY SCREEN","HIV1/HIV2 ANTIBODY SCREEN","2"
"9665-1","HIV-1 DIRECT AG (NON-ID) ELISA","HIV-1 P24 CONFIRMATION","1D"
"9665-1","HIV-1 DIRECT AG (NON-ID) ELISA","HIV-1 P24 INTERPRETATION","1D"
"9665-1","HIV-1 DIRECT AG (NON-ID),ELISA","HIV-1 P24 CONFIRMATION","1D"
"9665-1","HIV-1 DIRECT AG (NON-ID),ELISA","HIV-1 P24 INTERPRETATION","1D"
"9665-1","HIV-1 DIRECT ANTIGEN (NON-ID), ELISA","HIV-1 P24 CONFIRMATION","1D"
"9665-1","HIV-1 DIRECT ANTIGEN (NON-ID), ELISA","HIV-1 P24 INTERPRETATION","1D"
"","AMB CARD CMY OUTSIDE LABS","HIV 1/2 EIA AB SCREEN(QST)","2"
"","FDA GUIDANCE FEMALE WITH RFLX","HIV 1/O/2 AB(LBC)","2"
"","HEP B SURFACE AB QUANT","HIV 1/O/2 ABS, QUAL(LBC)","2"
"","HIV 1 RNA, QN PCR W/RFL GENO (RTI,PI,INTEGRASE)","LOG COPIES/ML(QST)",""
"","HIV 1/2 ANTIBODY DIFFERENTIATION","HIV 1 AB(LBC)","2"
"","HIV 1/2 ANTIBODY DIFFERENTIATION","HIV 1 ANTIBODY(QST)","2"
"","HIV 1/2 ANTIBODY DIFFERENTIATION","HIV 2 AB(LBC)","2"
"","HIV 1/2 ANTIBODY DIFFERENTIATION","HIV 2 ANTIBODY(QST)","2"
"","HIV 1/2 ANTIBODY DIFFERENTIATION","INTERPRETATION:(LBC)",""
"","HIV 1/2 ANTIGEN/ANTIBODY, FOURTH GENERATION W/RFL","HIV AG/AB, 4TH GEN(QST)","2"
"","HIV 1/2 SUPPLEMENTAL AB TEST","HIV 1 AB(LBC)","2"
"","HIV 1/2 SUPPLEMENTAL AB TEST","HIV 2 AB(LBC)","2"
"","HIV 1/2 SUPPLEMENTAL AB TEST","NOTE:(LBC)","2"
"","HIV AB, HIV 1/2, EIA, WITH REFLEXES","HIV 1/2 EIA AB SCREEN(QST)","2"
"","HIV ANTIBODY, HIV 1, WESTERN BLOT","HIV WB INTERP(QST)","1"
"","HIV ANTIBODY, HIV 1, WESTERN BLOT","P24(QST)","1"
"","HIV ANTIBODY, HIV 1, WESTERN BLOT","P31(QST)","1"
"","HIV ANTIBODY, HIV 1, WESTERN BLOT","P40(QST)","1"
"","HIV ANTIBODY, HIV 1, WESTERN BLOT","P51(QST)","1"
"","HIV ANTIBODY, HIV 1, WESTERN BLOT","P55(QST)","1"
